"PG.Genes","PG.ProteinAccessions","PG.ProteinDescriptions","PG.ProteinNames"
"TDRD12","A0A1W2PRK2;A0A2R8Y872;Q587J7","Putative ATP-dependent RNA helicase TDRD12","A0A1W2PRK2_HUMAN;A0A2R8Y872_HUMAN;TDR12_HUMAN"
"SCARB2","A0A1W2PRS1;A0A1W2PS43;Q14108","Lysosome membrane protein 2 (Fragment);Lysosome membrane protein 2;Lysosome membrane protein 2","A0A1W2PRS1_HUMAN;A0A1W2PS43_HUMAN;SCRB2_HUMAN"
"SMN2;SMN1;SMN2","A0A1W2PRV5;E7EQZ4;Q16637","Survival motor neuron protein","A0A1W2PRV5_HUMAN;E7EQZ4_HUMAN;SMN_HUMAN"
"TEAD3","A0A1X7SBS4;Q99594","Transcriptional enhancer factor TEF-5","A0A1X7SBS4_HUMAN;TEAD3_HUMAN"
"GTF3A","A0A1X7SBT5;Q92664","Transcription factor IIIA","A0A1X7SBT5_HUMAN;TF3A_HUMAN"
"STIM2","A0A1X7SBY3;A0A8V8TMC8;H0Y860;H7C5A5;H7C5C6;Q9P246","Stromal interaction molecule 2","A0A1X7SBY3_HUMAN;A0A8V8TMC8_HUMAN;H0Y860_HUMAN;H7C5A5_HUMAN;H7C5C6_HUMAN;STIM2_HUMAN"
"DDX17","A0A1X7SBZ2;A0A5H1ZRQ2;Q92841","RNA helicase;RNA helicase;Probable ATP-dependent RNA helicase DDX17","A0A1X7SBZ2_HUMAN;A0A5H1ZRQ2_HUMAN;DDX17_HUMAN"
";;;PLPP3","A0A286YES4;A0A286YEZ7;A0A286YF41;O14495","acidPPc domain-containing protein (Fragment);acidPPc domain-containing protein (Fragment);AcidPPc domain-containing protein (Fragment);Phospholipid phosphatase 3","A0A286YES4_HUMAN;A0A286YEZ7_HUMAN;A0A286YF41_HUMAN;PLPP3_HUMAN"
"NFIC","A0A286YEX4;P08651","Nuclear factor 1;Nuclear factor 1 C-type","A0A286YEX4_HUMAN;NFIC_HUMAN"
"PHGDH","A0A286YF22;O43175","D-3-phosphoglycerate dehydrogenase","A0A286YF22_HUMAN;SERA_HUMAN"
"MYO15B","A0A286YF23;A0A2R8YFM0;Q96JP2","Unconventional myosin-XVB","A0A286YF23_HUMAN;A0A2R8YFM0_HUMAN;MY15B_HUMAN"
"FBXO2","A0A286YF37;Q9UK22","F-box only protein 2 (Fragment);F-box only protein 2","A0A286YF37_HUMAN;FBX2_HUMAN"
"PHGDH","A0A286YFE1","D-3-phosphoglycerate dehydrogenase (Fragment)","A0A286YFE1_HUMAN"
"MON2","A0A286YFF8;Q7Z3U7","Protein MON2 homolog","A0A286YFF8_HUMAN;MON2_HUMAN"
"ARMC9","A0A2Q3DP09;A0A804HHZ1;A0A804HI20;A0A804HIH2;A0A804HIU9;A0A804HJ52;A0A804HJ95;A0A804HK42;A0A804HK85;A0A804HL13;H7BZY2;Q7Z3E5","LisH domain-containing protein ARMC9","A0A2Q3DP09_HUMAN;A0A804HHZ1_HUMAN;A0A804HI20_HUMAN;A0A804HIH2_HUMAN;A0A804HIU9_HUMAN;A0A804HJ52_HUMAN;A0A804HJ95_HUMAN;A0A804HK42_HUMAN;A0A804HK85_HUMAN;A0A804HL13_HUMAN;H7BZY2_HUMAN;ARMC9_HUMAN"
"CAMK2G","A0A2Q3DQE3;H0Y6G2;Q13555","calcium/calmodulin-dependent protein kinase;calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase type II subunit gamma","A0A2Q3DQE3_HUMAN;H0Y6G2_HUMAN;KCC2G_HUMAN"
"PNISR","A0A2R8Y2Y1;A0A7P0Z4K1;Q8TF01","Arginine/serine-rich protein PNISR","A0A2R8Y2Y1_HUMAN;A0A7P0Z4K1_HUMAN;PNISR_HUMAN"
"ATXN3","A0A2R8Y3X7;F5H211;G3V3R7;P54252","ubiquitinyl hydrolase 1;ubiquitinyl hydrolase 1;ubiquitinyl hydrolase 1 (Fragment);Ataxin-3","A0A2R8Y3X7_HUMAN;F5H211_HUMAN;G3V3R7_HUMAN;ATX3_HUMAN"
";;;;COMMD7","A0A2R8Y455;A0A2R8Y600;A0A2R8Y620;A0A2R8Y7U2;Q86VX2","COMM domain-containing protein;COMM domain-containing protein;COMM domain-containing protein;COMM domain-containing protein;COMM domain-containing protein 7","A0A2R8Y455_HUMAN;A0A2R8Y600_HUMAN;A0A2R8Y620_HUMAN;A0A2R8Y7U2_HUMAN;COMD7_HUMAN"
"CD47","A0A2R8Y484;Q08722","Leukocyte surface antigen CD47 (Fragment);Leukocyte surface antigen CD47","A0A2R8Y484_HUMAN;CD47_HUMAN"
"ARHGEF17","A0A2R8Y4D7;Q96PE2","Rho guanine nucleotide exchange factor 17","A0A2R8Y4D7_HUMAN;ARHGH_HUMAN"
"PDE8B","A0A2R8Y4E6;O95263","Phosphodiesterase;High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B","A0A2R8Y4E6_HUMAN;PDE8B_HUMAN"
"CCDC82","A0A2R8Y4L3;A0A2R8Y7C3;A0A2R8YE98;A0A7P0T881;A0A7P0T8E7;A0A7P0TAG3;Q8N4S0","Coiled-coil domain-containing protein 82","A0A2R8Y4L3_HUMAN;A0A2R8Y7C3_HUMAN;A0A2R8YE98_HUMAN;A0A7P0T881_HUMAN;A0A7P0T8E7_HUMAN;A0A7P0TAG3_HUMAN;CCD82_HUMAN"
"SMARCA4","A0A2R8Y4P4;A0A2R8Y7S2;P51532;Q9HBD4","Transcription activator BRG1;Transcription activator BRG1;Transcription activator BRG1;SMARCA4 isoform 2","A0A2R8Y4P4_HUMAN;A0A2R8Y7S2_HUMAN;SMCA4_HUMAN;Q9HBD4_HUMAN"
"IFNGR1","A0A2R8Y4U4;A0A2R8Y7R1;A0A2R8YFL3;A0A8Q3SJ27;A0A8Q3WLI6;P15260;Q5TFC9","Interferon gamma receptor 1;Interferon gamma receptor 1;Interferon gamma receptor 1;Interferon gamma receptor 1;Interferon gamma receptor 1 (Fragment);Interferon gamma receptor 1;Interferon gamma receptor 1","A0A2R8Y4U4_HUMAN;A0A2R8Y7R1_HUMAN;A0A2R8YFL3_HUMAN;A0A8Q3SJ27_HUMAN;A0A8Q3WLI6_HUMAN;INGR1_HUMAN;Q5TFC9_HUMAN"
"SPG7","A0A2R8Y4Y7;A0A2U3TZH1;Q9UQ90","Paraplegin","A0A2R8Y4Y7_HUMAN;A0A2U3TZH1_HUMAN;SPG7_HUMAN"
"CCDC9","A0A2R8Y4Z8","Coiled-coil domain-containing protein 9","A0A2R8Y4Z8_HUMAN"
"TBC1D24","A0A2R8Y518;H3BV07;Q9ULP9","TBC1 domain family member 24 (Fragment);TBC1 domain family member 24 (Fragment);TBC1 domain family member 24","A0A2R8Y518_HUMAN;H3BV07_HUMAN;TBC24_HUMAN"
"CHD4","A0A2R8Y521;A0A2R8Y5J0;A0A2R8YFK9;A0A2U3TZM0","DNA helicase","A0A2R8Y521_HUMAN;A0A2R8Y5J0_HUMAN;A0A2R8YFK9_HUMAN;A0A2U3TZM0_HUMAN"
"CTNNB1","A0A2R8Y543;A0A2R8Y5A3;A0A2R8Y5C3;A0A2R8Y5Z1;A0A2R8Y750;A0A2R8Y804;A0A2R8YCH5;B4DGU4;P35222","Catenin beta-1;Catenin beta-1;Catenin beta-1;Catenin beta-1;Catenin beta-1;Catenin beta-1;Catenin beta-1 (Fragment);Catenin beta-1;Catenin beta-1","A0A2R8Y543_HUMAN;A0A2R8Y5A3_HUMAN;A0A2R8Y5C3_HUMAN;A0A2R8Y5Z1_HUMAN;A0A2R8Y750_HUMAN;A0A2R8Y804_HUMAN;A0A2R8YCH5_HUMAN;B4DGU4_HUMAN;CTNB1_HUMAN"
"PATJ","A0A2R8Y549;Q8NI35","InaD-like protein","A0A2R8Y549_HUMAN;INADL_HUMAN"
"HDAC6","A0A2R8Y559;A0A8V8TKY7;A0A8V8TL08;Q9UBN7","Histone deacetylase 6","A0A2R8Y559_HUMAN;A0A8V8TKY7_HUMAN;A0A8V8TL08_HUMAN;HDAC6_HUMAN"
"RELCH","A0A2R8Y566","RAB11-binding protein RELCH","A0A2R8Y566_HUMAN"
"PLEKHM2","A0A2R8Y575;Q8IWE5","Pleckstrin homology domain-containing family M member 2","A0A2R8Y575_HUMAN;PKHM2_HUMAN"
"CTCF","A0A2R8Y595;A0A2R8YFL0;P49711","Transcriptional repressor CTCF","A0A2R8Y595_HUMAN;A0A2R8YFL0_HUMAN;CTCF_HUMAN"
"SLC19A2","A0A2R8Y5B5;O60779","Thiamine transporter 1","A0A2R8Y5B5_HUMAN;S19A2_HUMAN"
"TNKS1BP1","A0A2R8Y5C4","182 kDa tankyrase-1-binding protein (Fragment)","A0A2R8Y5C4_HUMAN"
"CBLB","A0A2R8Y5E1;A0A2R8Y8D8;A0A2R8YFD4;Q13191","E3 ubiquitin-protein ligase CBL;E3 ubiquitin-protein ligase CBL;E3 ubiquitin-protein ligase CBL;E3 ubiquitin-protein ligase CBL-B","A0A2R8Y5E1_HUMAN;A0A2R8Y8D8_HUMAN;A0A2R8YFD4_HUMAN;CBLB_HUMAN"
"TSC2","A0A2R8Y5F1;A0A2R8Y7C8;A0A2R8Y7X5;A0A2R8YDR3;A0A2R8YDZ2;A0A2R8YGD6;A0A2R8YGU4;H3BMQ0;P49815;X5D2U8","Tuberin;Tuberin;Tuberin;Tuberin (Fragment);Tuberin;Tuberin;Tuberin;Tuberin;Tuberin;Tuberin (Fragment)","A0A2R8Y5F1_HUMAN;A0A2R8Y7C8_HUMAN;A0A2R8Y7X5_HUMAN;A0A2R8YDR3_HUMAN;A0A2R8YDZ2_HUMAN;A0A2R8YGD6_HUMAN;A0A2R8YGU4_HUMAN;H3BMQ0_HUMAN;TSC2_HUMAN;X5D2U8_HUMAN"
"STOX1","A0A2R8Y5I4;Q6ZVD7","Storkhead-box protein 1","A0A2R8Y5I4_HUMAN;STOX1_HUMAN"
"C9orf72","A0A2R8Y5K2;A0A2R8Y5U5;A0A5F9ZHW7;Q96LT7","Guanine nucleotide exchange factor C9orf72","A0A2R8Y5K2_HUMAN;A0A2R8Y5U5_HUMAN;A0A5F9ZHW7_HUMAN;CI072_HUMAN"
"HARS2","A0A2R8Y5P7;P49590","histidine--tRNA ligase;Histidine--tRNA ligase, mitochondrial","A0A2R8Y5P7_HUMAN;SYHM_HUMAN"
"SHROOM3","A0A2R8Y5P9","Protein Shroom3","A0A2R8Y5P9_HUMAN"
"TSC1","A0A2R8Y5S3;Q92574","Hamartin","A0A2R8Y5S3_HUMAN;TSC1_HUMAN"
"CEP78","A0A2R8Y5W6;A0A2R8Y7U5;A8MST6;Q5JTW2","Centrosomal protein of 78 kDa","A0A2R8Y5W6_HUMAN;A0A2R8Y7U5_HUMAN;A8MST6_HUMAN;CEP78_HUMAN"
"ICOSLG","A0A2R8Y5W7;A0A8V8TQ73;A0A8V8TQV9;K4DIA0;O75144","ICOS ligand","A0A2R8Y5W7_HUMAN;A0A8V8TQ73_HUMAN;A0A8V8TQV9_HUMAN;K4DIA0_HUMAN;ICOSL_HUMAN"
"CLPB","A0A2R8Y602","Caseinolytic peptidase B protein homolog (Fragment)","A0A2R8Y602_HUMAN"
"ATP13A3","A0A2R8Y635","Polyamine-transporting ATPase 13A3","A0A2R8Y635_HUMAN"
"GIPC3","A0A2R8Y651;Q8TF64","PDZ domain-containing protein GIPC3","A0A2R8Y651_HUMAN;GIPC3_HUMAN"
"DYRK1A","A0A2R8Y6L5;Q13627","dual-specificity kinase (Fragment);Dual specificity tyrosine-phosphorylation-regulated kinase 1A","A0A2R8Y6L5_HUMAN;DYR1A_HUMAN"
"ERCC3","A0A2R8Y6W8;P19447","General transcription and DNA repair factor IIH helicase subunit XPB","A0A2R8Y6W8_HUMAN;ERCC3_HUMAN"
"SLC4A11","A0A2R8Y6X5","Solute carrier family 4 member 11","A0A2R8Y6X5_HUMAN"
"SUCLA2","A0A2R8Y6Y7;A0A2R8YDQ9;Q9P2R7","Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","A0A2R8Y6Y7_HUMAN;A0A2R8YDQ9_HUMAN;SUCB1_HUMAN"
"COL25A1","A0A2R8Y760","Collagen alpha-1(XXV) chain","A0A2R8Y760_HUMAN"
"ATXN2","A0A2R8Y7E6;A0A5F9ZHX3;A0A5F9ZI57","Ataxin-2","A0A2R8Y7E6_HUMAN;A0A5F9ZHX3_HUMAN;A0A5F9ZI57_HUMAN"
"BPTF","A0A2R8Y7Q1;E9PE19","Nucleosome-remodeling factor subunit BPTF","A0A2R8Y7Q1_HUMAN;E9PE19_HUMAN"
"CERT1","A0A2R8Y7Q9;A0A2R8YEK8;Q9Y5P4","Ceramide transfer protein","A0A2R8Y7Q9_HUMAN;A0A2R8YEK8_HUMAN;CERT_HUMAN"
"HBB","A0A2R8Y7R2;P68871","Hemoglobin subunit beta","A0A2R8Y7R2_HUMAN;HBB_HUMAN"
"NFIB","A0A2R8Y7V8;Q5VW26;Q5VW30","Nuclear factor 1","A0A2R8Y7V8_HUMAN;Q5VW26_HUMAN;Q5VW30_HUMAN"
"CDK13","A0A2R8Y7W5","Cyclin-dependent kinase 13 (Fragment)","A0A2R8Y7W5_HUMAN"
"MEA1","A0A2R8Y7W8","Male-enhanced antigen 1","A0A2R8Y7W8_HUMAN"
"ANKRD44","A0A2R8Y7Y4;Q8N8A2","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B","A0A2R8Y7Y4_HUMAN;ANR44_HUMAN"
"RPS14","A0A2R8Y811;P62263","40S ribosomal protein S14 (Fragment);40S ribosomal protein S14","A0A2R8Y811_HUMAN;RS14_HUMAN"
"RPS24","A0A2R8Y849;A0A2R8YD14;E7ETK0;P62847","40S ribosomal protein S24","A0A2R8Y849_HUMAN;A0A2R8YD14_HUMAN;E7ETK0_HUMAN;RS24_HUMAN"
"RPS29","A0A2R8Y851;P62273","40S ribosomal protein S29","A0A2R8Y851_HUMAN;RS29_HUMAN"
"CUX1","A0A2R8Y852","Homeobox protein cut-like","A0A2R8Y852_HUMAN"
"PROSER3","A0A2R8Y8D9;A0A8Q3WKY3;A0A8Q3WKY6;A0A8Q3WKY7","Proline and serine-rich protein 3","A0A2R8Y8D9_HUMAN;A0A8Q3WKY3_HUMAN;A0A8Q3WKY6_HUMAN;A0A8Q3WKY7_HUMAN"
"CSNK2A1","A0A2R8YD58;E7EU96;P68400","Casein kinase II subunit alpha","A0A2R8YD58_HUMAN;E7EU96_HUMAN;CSK21_HUMAN"
"TOPBP1","A0A2R8YD63;Q92547","DNA topoisomerase 2-binding protein 1","A0A2R8YD63_HUMAN;TOPB1_HUMAN"
"SLC11A2","A0A2R8YD71","Natural resistance-associated macrophage protein 2","A0A2R8YD71_HUMAN"
"SAP130","A0A2R8YDB8;H7BXF5","Histone deacetylase complex subunit SAP130","A0A2R8YDB8_HUMAN;H7BXF5_HUMAN"
"MIGA1","A0A2R8YDC7;A0A2R8YE40;A0A2R8YF99;A0A2R8YFQ8;A0A2R8YGK2;F8W7S1;Q8NAN2","Mitoguardin 1","A0A2R8YDC7_HUMAN;A0A2R8YE40_HUMAN;A0A2R8YF99_HUMAN;A0A2R8YFQ8_HUMAN;A0A2R8YGK2_HUMAN;F8W7S1_HUMAN;MIGA1_HUMAN"
"ATXN7","A0A2R8YDD6;O15265","Ataxin 7, isoform CRA_a;Ataxin-7","A0A2R8YDD6_HUMAN;ATX7_HUMAN"
"ZNF746","A0A2R8YDQ5;A0A8J9FQ52;C9JNZ9;Q6NUN9","Zinc finger protein 746","A0A2R8YDQ5_HUMAN;A0A8J9FQ52_HUMAN;C9JNZ9_HUMAN;ZN746_HUMAN"
"SLC29A3","A0A2R8YDR8;Q9BZD2","Equilibrative nucleoside transporter 3","A0A2R8YDR8_HUMAN;S29A3_HUMAN"
"GLUL","A0A2R8YDT1;P15104","Glutamine synthetase","A0A2R8YDT1_HUMAN;GLNA_HUMAN"
"CASK","A0A2R8YE77;A0A2U3TZM1;O14936","Calcium/calmodulin-dependent serine protein kinase (MAGUK family), isoform CRA_c;Peripheral plasma membrane protein CASK;Peripheral plasma membrane protein CASK","A0A2R8YE77_HUMAN;A0A2U3TZM1_HUMAN;CSKP_HUMAN"
"ACTB","A0A2R8YEA7","Actin, cytoplasmic 1 (Fragment)","A0A2R8YEA7_HUMAN"
"TRANK1","A0A2R8YEM9;O15050","TPR and ankyrin repeat-containing protein 1","A0A2R8YEM9_HUMAN;TRNK1_HUMAN"
"RAB15","A0A2R8YFB8;G3V196;P59190","Ras-related protein Rab-15","A0A2R8YFB8_HUMAN;G3V196_HUMAN;RAB15_HUMAN"
"SEC23B","A0A2R8YFH5;Q15437","Protein transport protein SEC23;Protein transport protein Sec23B","A0A2R8YFH5_HUMAN;SC23B_HUMAN"
"CASK","A0A2R8YFN5","Peripheral plasma membrane protein CASK","A0A2R8YFN5_HUMAN"
"TBL1X","A0A2R8YFW3","F-box-like/WD repeat-containing protein TBL1X","A0A2R8YFW3_HUMAN"
"AP1S1","A0A2R8YGH5;H7C1E4;P61966","AP complex subunit sigma;AP-1 complex subunit sigma-1A (Fragment);AP-1 complex subunit sigma-1A","A0A2R8YGH5_HUMAN;H7C1E4_HUMAN;AP1S1_HUMAN"
"TASOR2","A0A2R8YH03;A0A8Q3SI68;A0A8Q3SI84;A0A8V8TMM4;A0A8V8TMN1;Q5VWN6","Protein TASOR 2","A0A2R8YH03_HUMAN;A0A8Q3SI68_HUMAN;A0A8Q3SI84_HUMAN;A0A8V8TMM4_HUMAN;A0A8V8TMN1_HUMAN;TASO2_HUMAN"
"TPM4","A0A2R8YHD2","Tropomyosin alpha-4 chain (Fragment)","A0A2R8YHD2_HUMAN"
"EEF1A2","A0A2U3TZH3;Q05639","Elongation factor 1-alpha;Elongation factor 1-alpha 2","A0A2U3TZH3_HUMAN;EF1A2_HUMAN"
";TRIM5;TRIM5;TRIM5","A0A2U3TZJ3;A0A804HHS7;H7C134;Q9C035","SKA2 domain-containing protein (Fragment);Tripartite motif-containing protein 5;Tripartite motif-containing protein 5 (Fragment);Tripartite motif-containing protein 5","A0A2U3TZJ3_HUMAN;A0A804HHS7_HUMAN;H7C134_HUMAN;TRIM5_HUMAN"
"CD59;;CD59","A0A2U3TZL5;E9PNW4;P13987","CD59 glycoprotein (Fragment);CD59 glycoprotein;CD59 glycoprotein","A0A2U3TZL5_HUMAN;E9PNW4_HUMAN;CD59_HUMAN"
"CASK","A0A2U3TZN6","Peripheral plasma membrane protein CASK","A0A2U3TZN6_HUMAN"
"SPAST","A0A2U3TZR0;Q9UBP0","Spastin","A0A2U3TZR0_HUMAN;SPAST_HUMAN"
"GPI","A0A2U3TZU2;P06744","Glucose-6-phosphate isomerase","A0A2U3TZU2_HUMAN;G6PI_HUMAN"
"OR4Q3","A0A2U3TZU4;Q8NH05","Olfactory receptor;Olfactory receptor 4Q3","A0A2U3TZU4_HUMAN;OR4Q3_HUMAN"
"KCTD1","A0A2U3U043;J3KSG1;J3QRK1;Q719H9","BTB/POZ domain-containing protein KCTD1;BTB/POZ domain-containing protein KCTD1 (Fragment);BTB/POZ domain-containing protein KCTD1 (Fragment);BTB/POZ domain-containing protein KCTD1","A0A2U3U043_HUMAN;J3KSG1_HUMAN;J3QRK1_HUMAN;KCTD1_HUMAN"
"NDUFA6","A0A2Y9D025;P56556","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6","A0A2Y9D025_HUMAN;NDUA6_HUMAN"
"CEP83","A0A338VFC5;Q9Y592","Centrosomal protein of 83 kDa","A0A338VFC5_HUMAN;CEP83_HUMAN"
"R3HCC1L","A0A384DVK4;Q7Z5L2","Coiled-coil domain-containing protein R3HCC1L","A0A384DVK4_HUMAN;R3HCL_HUMAN"
"PNPLA6","A0A384DVU0;Q8IY17","Patatin-like phospholipase domain-containing protein 6","A0A384DVU0_HUMAN;PLPL6_HUMAN"
"HDAC8;;HDAC8;HDAC8;HDAC8;HDAC8;HDAC8;HDAC8;HDAC8","A0A3B3IRI9;A0A3B3IRV1;A0A3B3IS68;A0A3B3ISJ4;A0A3B3IT04;A0A3B3IT30;A0A3B3ITZ3;A6NGJ7;Q9BY41","histone deacetylase;histone deacetylase (Fragment);Histone deacetylase 8;Histone deacetylase 8;Histone deacetylase 8;histone deacetylase;Histone deacetylase 8;Histone deacetylase 8;Histone deacetylase 8","A0A3B3IRI9_HUMAN;A0A3B3IRV1_HUMAN;A0A3B3IS68_HUMAN;A0A3B3ISJ4_HUMAN;A0A3B3IT04_HUMAN;A0A3B3IT30_HUMAN;A0A3B3ITZ3_HUMAN;A6NGJ7_HUMAN;HDAC8_HUMAN"
"INPP5F","A0A3B3IRJ9;A0A3B3ISI3;A0A3B3ISJ5;A0A3B3ITL0;A0A3B3ITR9;Q9Y2H2","Phosphatidylinositide phosphatase SAC2;Phosphatidylinositide phosphatase SAC2;Phosphatidylinositide phosphatase SAC2;Phosphatidylinositide phosphatase SAC2;Phosphatidylinositide phosphatase SAC2 (Fragment);Phosphatidylinositide phosphatase SAC2","A0A3B3IRJ9_HUMAN;A0A3B3ISI3_HUMAN;A0A3B3ISJ5_HUMAN;A0A3B3ITL0_HUMAN;A0A3B3ITR9_HUMAN;SAC2_HUMAN"
"IFIH1","A0A3B3IRK8;A0A7P0Z4A9;Q9BYX4","RNA helicase;RNA helicase;Interferon-induced helicase C domain-containing protein 1","A0A3B3IRK8_HUMAN;A0A7P0Z4A9_HUMAN;IFIH1_HUMAN"
"CREG1","A0A3B3IRL2;O75629","Cellular repressor of E1A-stimulated genes 1, isoform CRA_a;Protein CREG1","A0A3B3IRL2_HUMAN;CREG1_HUMAN"
"COX7B","A0A3B3IRN8;A0A3B3ITX0;P24311","Cytochrome c oxidase subunit 7B, mitochondrial;Cytochrome c oxidase subunit 7B, mitochondrial;Cytochrome c oxidase subunit 7B, mitochondrial","A0A3B3IRN8_HUMAN;A0A3B3ITX0_HUMAN;COX7B_HUMAN"
"ADAR","A0A3B3IRQ9","Double-stranded RNA-specific adenosine deaminase (Fragment)","A0A3B3IRQ9_HUMAN"
"SSR1","A0A3B3IRT8;P43307","Translocon-associated protein subunit alpha","A0A3B3IRT8_HUMAN;SSRA_HUMAN"
"SNU13","A0A3B3IRU2","NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae), isoform CRA_b","A0A3B3IRU2_HUMAN"
"SP4","A0A3B3IRW4;Q02446","Transcription factor Sp4","A0A3B3IRW4_HUMAN;SP4_HUMAN"
"QSER1","A0A3B3IRW6","Glutamine and serine-rich protein 1","A0A3B3IRW6_HUMAN"
"MED13L","A0A3B3IRX3;A0A3B3IS46;Q71F56","Mediator of RNA polymerase II transcription subunit 13;Mediator of RNA polymerase II transcription subunit 13 (Fragment);Mediator of RNA polymerase II transcription subunit 13-like","A0A3B3IRX3_HUMAN;A0A3B3IS46_HUMAN;MD13L_HUMAN"
"CAPN5","A0A3B3IRX8;E7EV01;O15484","Calpain-5 (Fragment);Calpain-5;Calpain-5","A0A3B3IRX8_HUMAN;E7EV01_HUMAN;CAN5_HUMAN"
"LEPROTL1","A0A3B3IS19;C9JVM4;E5RHU8;E5RIL0;E5RJS9;H0YBC1;O95214","Leptin receptor overlapping transcript-like 1;Leptin receptor overlapping transcript-like 1;Leptin receptor overlapping transcript-like 1 (Fragment);Leptin receptor overlapping transcript-like 1;Leptin receptor overlapping transcript-like 1;Leptin receptor overlapping transcript-like 1 (Fragment);Leptin receptor overlapping transcript-like 1","A0A3B3IS19_HUMAN;C9JVM4_HUMAN;E5RHU8_HUMAN;E5RIL0_HUMAN;E5RJS9_HUMAN;H0YBC1_HUMAN;LERL1_HUMAN"
"COL4A2","A0A3B3IS47","Collagen alpha-2(IV) chain (Fragment)","A0A3B3IS47_HUMAN"
"KAT6A","A0A3B3IS53;A0A3F2YNX6;Q92794","Histone acetyltransferase (Fragment);Histone acetyltransferase;Histone acetyltransferase KAT6A","A0A3B3IS53_HUMAN;A0A3F2YNX6_HUMAN;KAT6A_HUMAN"
"ABLIM1","A0A3B3IS55;O14639","Actin-binding LIM protein 1","A0A3B3IS55_HUMAN;ABLM1_HUMAN"
"RB1","A0A3B3IS71;P06400","Retinoblastoma-associated protein","A0A3B3IS71_HUMAN;RB_HUMAN"
"KAT6B","A0A3B3IS73;A0A3B3ISF5;A0A3B3ISI1;A0A3B3ISW3;A0A3B3IT19;A0A3B3IT63;A0A3B3ITI0;A0A3B3IU93;Q8WYB5","histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);histone acetyltransferase (Fragment);Histone acetyltransferase KAT6B","A0A3B3IS73_HUMAN;A0A3B3ISF5_HUMAN;A0A3B3ISI1_HUMAN;A0A3B3ISW3_HUMAN;A0A3B3IT19_HUMAN;A0A3B3IT63_HUMAN;A0A3B3ITI0_HUMAN;A0A3B3IU93_HUMAN;KAT6B_HUMAN"
"SSH2","A0A3B3IS79;F5H527;Q76I76","protein-serine/threonine phosphatase;protein-serine/threonine phosphatase;Protein phosphatase Slingshot homolog 2","A0A3B3IS79_HUMAN;F5H527_HUMAN;SSH2_HUMAN"
"ALDOB","A0A3B3IS80;P05062","Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase B","A0A3B3IS80_HUMAN;ALDOB_HUMAN"
"ALG11","A0A3B3IS90;A0A7P0T8Y4;Q2TAA5","GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase;GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase;GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase","A0A3B3IS90_HUMAN;A0A7P0T8Y4_HUMAN;ALG11_HUMAN"
"GET1-SH3BGR;GET1-SH3BGR;GET1;GET1;GET1","A0A3B3ISE9;A0A3B3ITX9;B4DLW3;B7Z1T1;O00258","Guided entry of tail-anchored proteins factor 1","A0A3B3ISE9_HUMAN;A0A3B3ITX9_HUMAN;B4DLW3_HUMAN;B7Z1T1_HUMAN;GET1_HUMAN"
"LARP1B","A0A3B3ISF0","La-related protein 1B","A0A3B3ISF0_HUMAN"
"KLHDC7B","A0A3B3ISF6","Kelch domain-containing protein 7B","A0A3B3ISF6_HUMAN"
"ECE1","A0A3B3ISF9;B4DKB2;P42892","Endothelin-converting enzyme 1","A0A3B3ISF9_HUMAN;B4DKB2_HUMAN;ECE1_HUMAN"
"IDE","A0A3B3ISG5;A0A7I2V2P6;P14735","Insulin-degrading enzyme","A0A3B3ISG5_HUMAN;A0A7I2V2P6_HUMAN;IDE_HUMAN"
"PPP1R13B","A0A3B3ISJ2;Q96KQ4","Apoptosis-stimulating of p53 protein 1 (Fragment);Apoptosis-stimulating of p53 protein 1","A0A3B3ISJ2_HUMAN;ASPP1_HUMAN"
"EPS8L2","A0A3B3ISQ4;Q9H6S3","Epidermal growth factor receptor kinase substrate 8-like protein 2","A0A3B3ISQ4_HUMAN;ES8L2_HUMAN"
"FOXP1","A0A3B3IST0;A0A3B3IST6;C9J0F0;G5E965;Q9H334","Forkhead box protein P1;Forkhead box protein P1 (Fragment);Forkhead box protein P1;Forkhead box P1, isoform CRA_f;Forkhead box protein P1","A0A3B3IST0_HUMAN;A0A3B3IST6_HUMAN;C9J0F0_HUMAN;G5E965_HUMAN;FOXP1_HUMAN"
